anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,neuroticism,class
0.236886,0.212854,0.066533,0.027796,0.593445,0,0,0,0.587188,0.293015,0.62301,0.596959,0.562912,REAL
0.096668,0.155398,0.206297,0.227014,0.080813,0,0,0,0.314171,0.336037,0.758584,0.681039,0.163739,FAKE
0.019208,0.052442,0.027726,0.809201,0.050275,0,0.898327,0,0.204156,0.524635,0.250695,0.541683,0.626993,FAKE
0.016252,0.446801,0.071013,0.018036,0.175189,0,0,0,0.195012,0.371861,0.749369,0.705725,0.520708,FAKE
0.187403,0.165663,0.171092,0.36241,0.191174,0,0,0.93143,0.683864,0.762584,0.206021,0.570477,0.498373,FAKE
0.120653,0.380714,0.106275,0.104759,0.379832,0,0,0,0.959705,0.65352,0.928993,0.850301,0.654647,FAKE
0.089011,0.403948,0.036219,0.081398,0.431467,0,0.751512,0,0.430573,0.353448,0.699186,0.611123,0.737133,FAKE
0.078427,0.206996,0.113353,0.25057,0.214053,0,0,0,0.78162,0.171992,0.800999,0.635052,0.644552,FAKE
0.326042,0.37693,0.024138,0.047609,0.349052,0,0,0,0.698237,0.402681,0.814865,0.70662,0.596918,FAKE
0.083165,0.097135,0.125053,0.01072,0.142246,0.182902,0,0,0.53573,0.29222,0.63245,0.603219,0.403212,FAKE
0.099582,0.020438,0.09809,0.101759,0.245524,0,0,0,0.268644,0.359682,0.817954,0.519608,0.256037,REAL
0.079636,0.05268,0.357096,0.023865,0.581267,0,0,0,0.007989,0.28513,0.464159,0.539561,0.697433,REAL
0.003775,0.011101,0.048511,0.61503,0.051311,0.920855,0.618451,0,0.625203,0.23287,0.595259,0.447821,0.37997,FAKE
0.071292,0.713721,0.008518,0.04043,0.219115,0.788547,0,0,0.672779,0.337491,0.81026,0.660054,0.569935,FAKE
0.084972,0.31934,0.160743,0.251998,0.233538,0,0,0,0.371829,0.460635,0.738838,0.759722,0.611978,REAL
0.245642,0.065139,0.161359,0.048502,0.303359,0.653099,0,0,0.495231,0.448537,0.754937,0.546044,0.775565,FAKE
0.200475,0.033714,0.049615,0.097093,0.466467,0,0,0,0.50814,0.786994,0.842119,0.770363,0.928731,REAL
0.06535,0.19515,0.626885,0.008887,0.308434,0,0,0,0.305113,0.319198,0.626876,0.618838,0.60288,REAL
0.323885,0.69143,0.081997,0.000313,0.067408,0.450826,0,0,0.429647,0.731723,0.671445,0.822731,0.733642,FAKE
0.297411,0.473231,0.154787,0.008359,0.147767,0,0.332559,0,0.914502,0.866905,0.933224,0.371974,0.872487,FAKE
0.046159,0.12991,0.01945,0.003684,0.201987,0,0,0,0.44559,0.295733,0.600802,0.57726,0.285827,REAL
0.487047,0.380458,0.024735,0.042435,0.178814,0.978091,0,0.983475,0.37627,0.143397,0.35895,0.576433,0.321701,REAL
0.153041,0.182873,0.044522,0.030184,0.397288,0.896021,0,0,0.785899,0.296013,0.561315,0.613733,0.346267,FAKE
0.077956,0.039569,0.079195,0.395258,0.151849,0.065036,0,0,0.675137,0.268321,0.554383,0.569932,0.470198,FAKE
0.082497,0.021689,0.018846,0.359889,0.080279,0,0,0,0.749072,0.323076,0.580213,0.58248,0.297064,FAKE
0.455675,0.06946,0.528577,0.061159,0.12539,0,0,0,0.055362,0.272836,0.340962,0.418267,0.083168,REAL
0.069851,0.020078,0.024974,0.312358,0.060066,0,0,0,0.623272,0.316593,0.713831,0.672475,0.589463,FAKE
0.207669,0.117865,0.230458,0.026324,0.252274,0,0,0,0.299004,0.269905,0.51003,0.579482,0.13771,REAL
0.437389,0.172917,0.207035,0.182828,0.101748,0.920855,0,0,0.799458,0.245542,0.749361,0.526357,0.509912,FAKE
0.123427,0.155042,0.187009,0.011609,0.662358,0.762356,0,0,0.635815,0.290158,0.612067,0.623268,0.552874,REAL
0.053006,0.192061,0.737968,0.021404,0.164208,0.972852,0,0,0.560109,0.373581,0.801383,0.757245,0.516374,FAKE
0.127413,0.339574,0.038809,0.178056,0.258897,0,0,0,0.534922,0.316722,0.754233,0.698135,0.325213,REAL
0.038415,0.042431,0.058799,0.008453,0.395379,0,0,0,0.737377,0.205561,0.803952,0.650554,0.251057,REAL
0.053843,0.427633,0.314203,0.026564,0.238123,0,0,0,0.28695,0.690944,0.815986,0.910559,0.81284,FAKE
0.115224,0.097711,0.063668,0.184565,0.329387,0,0,0,0.678036,0.332276,0.697799,0.687031,0.562912,REAL
0.077601,0.247589,0.040997,0.031839,0.280856,0.235443,0,0,0.326337,0.26029,0.659043,0.574046,0.409863,REAL
0.157875,0.364898,0.101136,0.058563,0.242258,0,0,0,0.650322,0.375322,0.767848,0.632661,0.597161,REAL
0.650282,0.303043,0.008184,0.010775,0.174928,0,0,0,0.585595,0.260726,0.857411,0.654312,0.288593,REAL
0.266212,0.139278,0.436783,0.004675,0.111284,0.840228,0,0,0.627115,0.506099,0.842241,0.736733,0.92751,REAL
0.067737,0.06936,0.073872,0.015411,0.088911,0.116314,0,0,0.272215,0.425986,0.533184,0.473746,0.747184,FAKE
0.125346,0.541244,0.022668,0.126932,0.228931,0.144719,0,0,0.208938,0.379222,0.695142,0.490506,0.677289,REAL
0.113372,0.032527,0.107636,0.202261,0.340204,0,0.751512,0,0.804488,0.297139,0.583726,0.766065,0.551655,FAKE
0.041898,0.19142,0.234604,0.001928,0.662327,0.908592,0,0,0.246494,0.13594,0.488423,0.605424,0.384389,REAL
0.108259,0.203885,0.11233,0.000948,0.729412,0.459587,0,0,0.447429,0.661213,0.912374,0.862942,0.927294,REAL
0.35958,0.046538,0.139914,0.076383,0.252235,0,0,0,0.256792,0.274904,0.464822,0.619162,0.181553,FAKE
0.080454,0.241721,0.032642,0.138639,0.154447,0.116314,0,0,0.318668,0.292984,0.645545,0.607244,0.582935,REAL
0.222467,0.502891,0.053191,0.087933,0.144593,0,0,0,0.474929,0.340956,0.60256,0.522695,0.383778,REAL
0.343599,0.258207,0.113439,0.066088,0.225543,0,0,0,0.465813,0.183684,0.652358,0.292456,0.822139,REAL
0.134425,0.105304,0.094975,0.041064,0.227449,0,0,0,0.533053,0.299826,0.642863,0.647385,0.315887,FAKE
0.108575,0.02058,0.259433,0.006394,0.472698,0,0.579436,0,0.714439,0.887092,0.411074,0.85123,0.824836,FAKE
0.182127,0.091257,0.136863,0.033702,0.499481,0.968209,0,0,0.454215,0.781224,0.825912,0.682539,0.843324,REAL
0.121634,0.034536,0.141195,0.238861,0.266597,0.724236,0,0.5538,0.178571,0.368732,0.697384,0.668262,0.536295,REAL
0.216555,0.322143,0.055277,0.047246,0.194775,0,0,0.856622,0.061588,0.359305,0.630066,0.634329,0.717698,REAL
0.145182,0.182049,0.232527,0.087751,0.238432,0,0,0,0.074546,0.386926,0.427337,0.388941,0.155639,FAKE
0.162412,0.352875,0.12562,0.054927,0.243435,0,0,0,0.60306,0.346149,0.675366,0.65921,0.652007,REAL
0.352591,0.170012,0.148963,0.044233,0.317361,0,0,0,0.318241,0.30966,0.61604,0.54684,0.508298,REAL
0.234529,0.114296,0.055931,0.151146,0.224729,0,0,0,0.659563,0.297364,0.579287,0.621009,0.477482,REAL
0.206149,0.162323,0.014957,0.482445,0.082302,0,0,0.497569,0.452813,0.999075,0.484026,0.660175,0.929655,REAL
0.031323,0.07797,0.035369,0.577692,0.125821,0.929993,0,0,0.627245,0.947272,0.896111,0.961807,0.935907,REAL
0.120085,0.091131,0.111273,0.047134,0.233823,0,0,0,0.280152,0.523286,0.632587,0.742946,0.877678,REAL
0.288485,0.332281,0.114241,0.105528,0.225381,0,0,0,0.448979,0.284719,0.579969,0.607258,0.553569,REAL
0.145065,0.097127,0.091498,0.250029,0.200704,0.653099,0,0.909883,0.948094,0.389658,0.419145,0.59232,0.652113,FAKE
0.336233,0.106133,0.095995,0.073325,0.42167,0,0,0,0.250612,0.365587,0.579749,0.533932,0.589291,FAKE
0.037535,0.160729,0.013683,0.255011,0.545022,0,0,0,0.135374,0.36946,0.741549,0.685335,0.787023,REAL
0.553885,0.099498,0.546867,0.00085,0.057355,0,0,0,0.534998,0.354631,0.651838,0.590536,0.353035,REAL
0.162888,0.234003,0.024324,0.245789,0.281411,0.724236,0.374012,0,0.541109,0.422927,0.141805,0.412217,0.753734,FAKE
0.16871,0.386791,0.048127,0.030042,0.317,0,0,0,0.430786,0.370358,0.591364,0.624664,0.703204,FAKE
0.080851,0.064866,0.099733,0.153708,0.126938,0,0,0,0.131804,0.3993,0.726274,0.598332,0.806132,REAL
0.235413,0.686284,0.079654,0.01752,0.123313,0.269244,0,0,0.55207,0.310212,0.760211,0.543578,0.474635,REAL
0.067645,0.139392,0.081577,0.118038,0.159904,0,0,0.710239,0.718364,0.48222,0.840883,0.533021,0.897447,REAL
0.102457,0.072162,0.074762,0.076445,0.354043,0,0,0,0.226951,0.273333,0.580552,0.612376,0.37208,REAL
0.075321,0.360889,0.2368,0.049708,0.259919,0,0,0,0.746308,0.562269,0.707337,0.70433,0.588089,FAKE
0.06854,0.103416,0.066561,0.003798,0.27748,0,0,0,0.365173,0.532777,0.680065,0.69586,0.920403,REAL
0.183375,0.045989,0.063361,0.568927,0.166703,0.560098,0,0,0.340492,0.717372,0.703583,0.811694,0.889262,REAL
0.065305,0.145681,0.118427,0.150771,0.510642,0.907747,0,0,0.568934,0.336807,0.644067,0.653456,0.59059,REAL
0.114257,0.062809,0.094688,0.05708,0.136163,0,0,0,0.363461,0.276352,0.591906,0.61842,0.388035,REAL
0.12849,0.121876,0.116924,0.271992,0.150119,0,0,0,0.344887,0.587622,0.29724,0.737113,0.521373,FAKE
0.537893,0.034177,0.098351,0.018177,0.173929,0.991736,0,0,0.30445,0.274446,0.543617,0.599488,0.311239,FAKE
0.001428,0.009411,0.001085,0.936983,0.04022,0,0,0,0.068355,0.333714,0.62162,0.651004,0.57115,FAKE
0.007379,0.011414,0.01926,0.248071,0.09204,0.010774,0,0,0.736219,0.497519,0.631968,0.198533,0.642387,FAKE
0.064761,0.086518,0.096822,0.009121,0.395947,0.842108,0,0,0.673793,0.451342,0.801991,0.701792,0.855708,REAL
0.103824,0.04443,0.070026,0.002008,0.534032,0,0,0,0.365983,0.287343,0.618932,0.61033,0.442022,REAL
0.499282,0.317218,0.108597,0.002116,0.279324,0,0,0,0.361423,0.276108,0.546234,0.599635,0.28458,FAKE
0.087325,0.013015,0.176801,0.012322,0.171299,0,0,0.786991,0.454117,0.558925,0.533713,0.490238,0.533648,FAKE
0.047727,0.139725,0.042924,0.556063,0.161516,0,0,0,0.34578,0.624509,0.867582,0.846225,0.899801,FAKE
0.140102,0.061421,0.092466,0.053798,0.275993,0,0,0.753635,0.403967,0.433545,0.614587,0.653283,0.82502,REAL
0.323747,0.168889,0.078623,0.013839,0.511689,0.687768,0,0,0.096978,0.38623,0.223409,0.702214,0.295928,REAL
0.387723,0.346328,0.066536,0.030737,0.306159,0.687768,0,0,0.739519,0.468446,0.745115,0.638804,0.772432,FAKE
0.182691,0.102443,0.182418,0.095859,0.293108,0.801827,0,0.681699,0.224673,0.313857,0.576007,0.633058,0.21965,FAKE
0.178978,0.185525,0.163584,0.198836,0.251804,0.951898,0,0,0.362441,0.296899,0.547727,0.609788,0.259919,REAL
0.220624,0.032171,0.799728,0.000783,0.155595,0.672469,0.543112,0,0.455077,0.529207,0.572013,0.518095,0.521544,REAL
0.192048,0.174713,0.274182,0.027015,0.227356,0,0,0,0.038761,0.252464,0.117832,0.583941,0.657136,FAKE
0.019172,0.23667,0.029248,0.223231,0.226635,0.724236,0,0,0.180676,0.647684,0.620174,0.821961,0.539561,REAL
0.0982,0.127262,0.069809,0.086921,0.178109,0,0,0,0.50552,0.433449,0.616921,0.688269,0.736954,FAKE
0.508545,0.058512,0.438461,0.0012,0.27897,0.595347,0,0.26216,0.89018,0.471034,0.824785,0.440419,0.353518,FAKE
0.257957,0.447081,0.182288,0.059139,0.076688,0.046305,0,0,0.341175,0.42734,0.6349,0.531384,0.514224,REAL
0.050501,0.037563,0.41684,0.054267,0.218129,0.269244,0,0,0.723025,0.258449,0.642021,0.285939,0.566012,REAL
0.632173,0.122254,0.028343,0.001555,0.191048,0.532616,0.449032,0,0.646933,0.60101,0.798844,0.706169,0.801214,FAKE
0.071779,0.074822,0.030882,0.223346,0.05202,0.474673,0,0,0.294844,0.821347,0.942417,0.666096,0.802797,FAKE
0.10599,0.028696,0.090338,0.432954,0.132546,0.144719,0,0,0.353241,0.275988,0.552402,0.603106,0.182938,FAKE
0.119781,0.09525,0.176675,0.042218,0.556557,0,0,0.946222,0.997404,0.419952,0.713892,0.593527,0.19204,REAL
0.23964,0.076676,0.268021,0.012414,0.205891,0.292626,0,0,0.854678,0.463313,0.361453,0.450978,0.38587,FAKE
0.10604,0.205501,0.034751,0.003211,0.694013,0.882284,0,0,0.121259,0.283153,0.583312,0.590582,0.269515,REAL
0.120043,0.094846,0.020077,0.019643,0.273448,0,0,0,0.175834,0.446895,0.705452,0.751142,0.684347,REAL
0.155907,0.132181,0.037346,0.020964,0.091411,0,0,0,0.653047,0.523895,0.820411,0.87404,0.934719,FAKE
0.089278,0.067283,0.056216,0.002005,0.112676,0.380851,0.579436,0,0.564061,0.475833,0.704282,0.526897,0.35023,FAKE
0.271074,0.361258,0.183016,0.01265,0.279541,0.724236,0,0.856622,0.835298,0.388506,0.707757,0.656245,0.658588,FAKE
0.217864,0.217016,0.229039,0.077051,0.271321,0,0.374012,0,0.111539,0.545014,0.620403,0.570373,0.948934,FAKE
0.201569,0.069168,0.099905,0.019892,0.198704,0,0,0.681699,0.323705,0.60655,0.734402,0.620539,0.833512,REAL
0.216871,0.243874,0.035099,0.030936,0.119021,0.932977,0,0,0.215399,0.019887,0.288051,0.447126,0.212508,FAKE
0.059387,0.764634,0.007532,0.020861,0.21435,0.380851,0,0,0.755303,0.553392,0.961942,0.825412,0.866514,FAKE
0.133233,0.094549,0.090438,0.027956,0.279052,0,0,0,0.125256,0.368483,0.488777,0.667535,0.355743,REAL
0.304714,0.351964,0.116897,0.063934,0.328615,0,0,0.615352,0.786428,0.716496,0.986644,0.804781,0.944947,FAKE
0.027918,0.183403,0.274216,0.040273,0.512036,0.900799,0,0,0.56239,0.540651,0.719939,0.621777,0.790536,REAL
0,0,0,0,0,0,0,0,0.068939,0.145665,0.270129,0.461938,0.000114,FAKE
0.17264,0.084197,0.278371,0.01504,0.267023,0.838983,0,0,0.318825,0.193198,0.519465,0.423639,0.313862,REAL
0.550771,0.035264,0.053373,0.113839,0.046575,0,0,0,0.839132,0.429169,0.158189,0.085385,0.330481,FAKE
0.15372,0.033484,0.186242,0.184514,0.160252,0,0,0,0.146925,0.083511,0.521075,0.534827,0.010949,FAKE
0.268628,0.300105,0.265069,0.003448,0.273513,0,0,0,0.538708,0.439199,0.684386,0.610184,0.789057,FAKE
0.039579,0.048551,0.02408,0.655846,0.188145,0,0,0,0.049335,0.836272,0.242429,0.596844,0.796445,FAKE
0.391915,0.039681,0.155423,0.026153,0.346713,0.762356,0,0.058593,0.116506,0.454611,0.326522,0.610305,0.635431,REAL
0.137877,0.739177,0.075427,0.052381,0.082412,0,0,0,0.527906,0.657128,0.898158,0.836097,0.890318,FAKE
0.150033,0.639028,0.011053,0.016921,0.182163,0.046305,0,0,0.386281,0.577934,0.961301,0.829318,0.800938,FAKE
0.180019,0.118562,0.406805,0.005886,0.41643,0.589295,0,0.360131,0.843007,0.268438,0.603698,0.253399,0.445604,FAKE
0.282903,0.191527,0.193648,0.006558,0.473772,0,0,0,0.966196,0.630025,0.816477,0.526905,0.184972,REAL
0.164362,0.07084,0.072427,0.013905,0.165942,0,0,0,0.458658,0.425168,0.760577,0.711311,0.743991,FAKE
0.447648,0.129533,0.081489,0.013306,0.338993,0,0,0,0.271164,0.341682,0.624831,0.651018,0.713583,REAL
0.204433,0.120879,0.1084,0.01812,0.254221,0,0,0,0.055321,0.366046,0.799848,0.701243,0.630763,REAL
0.294488,0.156924,0.019106,0.054323,0.322864,0,0,0,0.263257,0.561272,0.814962,0.806209,0.754288,REAL
0.285321,0.042193,0.715573,0.062527,0.041086,0,0,0,0.099453,0.339578,0.390199,0.631192,0.26761,FAKE
0.118264,0.084695,0.109855,0.16251,0.430182,0,0,0,0.055084,0.52635,0.672295,0.537537,0.688995,REAL
0.159184,0.125696,0.67338,0.022639,0.131202,0,0.579436,0,0.380176,0.433799,0.433485,0.59321,0.677638,REAL
0.16191,0.562701,0.044293,0.034597,0.154712,0,0,0,0.06818,0.604165,0.630893,0.739764,0.934524,FAKE
0.160598,0.340466,0.193154,0.299977,0.106148,0.243345,0,0,0.703374,0.267565,0.583341,0.761288,0.390325,FAKE
0.185348,0.043956,0.138064,0.099453,0.29502,0.862286,0,0,0.218725,0.286309,0.540006,0.626592,0.541157,REAL
0.168469,0.148606,0.172007,0.094294,0.460446,0,0,0.75152,0.534868,0.303616,0.771658,0.473897,0.397759,FAKE
0.447184,0.05784,0.066082,0.170546,0.133196,0,0,0,0.297843,0.30222,0.627243,0.588781,0.558808,REAL
0.15838,0.436068,0.260039,0.156309,0.064248,0,0,0,0.342581,0.642649,0.890874,0.155639,0.505401,FAKE
0.084043,0.245111,0.588378,0.011401,0.282688,0.807548,0,0,0.801952,0.464797,0.643106,0.419575,0.831662,FAKE
0.091758,0.080493,0.070612,0.093102,0.19122,0,0,0,0.569804,0.467953,0.595434,0.656212,0.766519,REAL
0.160184,0.182087,0.103807,0.036557,0.302329,0.589295,0,0,0.428873,0.544398,0.848676,0.848955,0.651534,FAKE
0.160101,0.211706,0.494223,0.110604,0.216612,0,0.775702,0,0.671572,0.302453,0.538648,0.227519,0.104961,FAKE
0.23691,0.625785,0.085892,0.012701,0.137279,0.292626,0,0,0.397973,0.699015,0.691048,0.665554,0.922133,FAKE
0.183728,0.248971,0.202703,0.005449,0.515535,0.959869,0,0,0.40492,0.66316,0.617819,0.705786,0.975216,REAL
0.326726,0.202233,0.290709,0.003082,0.272039,0.094752,0,0.155583,0.215753,0.608218,0.314421,0.579768,0.561732,FAKE
0.066148,0.050769,0.033591,0.805599,0.047977,0,0,0,0.305619,0.278949,0.541811,0.596519,0.499525,FAKE
0.058876,0.012465,0.02678,0.723859,0.089768,0,0,0,0.485678,0.293237,0.623366,0.647731,0.358584,REAL
0.308597,0.233561,0.211483,0.013414,0.32403,0.920855,0,0,0.204024,0.294595,0.393252,0.54893,0.152682,FAKE
0.091116,0.130336,0.050775,0.189097,0.270602,0.959869,0.849827,0,0.479305,0.540953,0.691615,0.732465,0.703906,REAL
0.479839,0.167323,0.285475,0.011794,0.224076,0.687768,0.618451,0,0.476948,0.348519,0.613926,0.69933,0.728735,FAKE
0.333177,0.411455,0.070536,0.014405,0.239973,0.788547,0.668884,0,0.507726,0.347795,0.656917,0.67505,0.61386,REAL
0.071684,0.065314,0.049157,0.01385,0.150099,0.774376,0,0.928936,0.477719,0.271133,0.616453,0.607264,0.231451,REAL
0.060977,0.031558,0.221826,0.402524,0.195379,0,0,0,0.411244,0.330561,0.448209,0.552277,0.272417,REAL
0.276295,0.398277,0.007282,0.187959,0.084809,0.560098,0,0,0.590969,0.749578,0.854002,0.938395,0.905507,FAKE
0.124239,0.164743,0.03814,0.025104,0.584255,0,0,0,0.027755,0.270374,0.657635,0.499413,0.393598,REAL
0.11704,0.122912,0.18813,0.18784,0.171612,0,0.922197,0,0.154088,0.251241,0.643943,0.79412,0.185342,REAL
0.058627,0.098713,0.206188,0.365675,0.258861,0,0,0,0.06024,0.457587,0.756198,0.663028,0.80148,REAL
0.375592,0.102413,0.146797,0.172109,0.263566,0,0,0,0.192929,0.361299,0.540603,0.596109,0.76721,REAL
0.102984,0.469237,0.141955,0.023333,0.417426,0,0.124875,0,0.727857,0.465506,0.857772,0.343799,0.821662,FAKE
0.263902,0.179954,0.079684,0.004138,0.653682,0,0,0.856622,0.796574,0.012856,0.235475,0.534666,0.01713,REAL
0.142081,0.663162,0.027189,0.007144,0.172139,0,0,0,0.479142,0.492276,0.438168,0.590846,0.720192,REAL
0.194187,0.083981,0.084429,0.027217,0.273017,0.687768,0,0.497569,0.080678,0.240372,0.027311,0.093351,0.210981,FAKE
0.249372,0.085848,0.067642,0.004463,0.703121,0,0,0,0.15594,0.419667,0.671887,0.635079,0.820577,REAL
0.086655,0.199378,0.415921,0.056658,0.404703,0,0.543112,0,0.564922,0.580747,0.492029,0.511954,0.556486,REAL
0.024526,0.005489,0.029097,0.591412,0.033752,0,0.97759,0,0.033956,0.322502,0.505905,0.645254,0.607002,FAKE
0.242799,0.072457,0.103649,0.002248,0.748343,0,0,0,0.197758,0.247508,0.820775,0.542678,0.220463,FAKE
0.137153,0.259158,0.081068,0.042687,0.61169,0.078097,0,0,0.094104,0.37125,0.756636,0.7059,0.65616,REAL
0.115988,0.027456,0.01421,0.036304,0.071293,0.046305,0,0,0.430777,0.608345,0.623096,0.673665,0.945869,FAKE
0.129546,0.254442,0.130789,0.014085,0.181763,0.620279,0,0,0.729251,0.299414,0.900132,0.496267,0.528083,FAKE
0.146674,0.395267,0.104585,0.023546,0.280899,0,0,0.822231,0.344812,0.442875,0.732583,0.736252,0.775263,REAL
0.189562,0.067638,0.056887,0.134545,0.308391,0.182902,0,0,0.262368,0.364868,0.636731,0.737925,0.291331,REAL
0.045171,0.072221,0.085422,0.28926,0.1473,0,0,0,0.305724,0.58562,0.46378,0.586661,0.42048,FAKE
0.324488,0.666089,0.019949,0.00222,0.144638,0.158609,0,0,0.516809,0.359884,0.775825,0.626271,0.779895,REAL
0.114653,0.020108,0.804728,0.001694,0.123296,0.564476,0,0,0.846788,0.346207,0.128963,0.117255,0.048216,FAKE
0.138888,0.447258,0.085024,0.095585,0.281052,0.473337,0.49867,0,0.657507,0.029161,0.864519,0.081218,0.174908,FAKE
0.118917,0.140482,0.105049,0.028971,0.701848,0,0.543112,0,0.641258,0.063761,0.152572,0.120453,0.048332,FAKE
0.060768,0.162985,0.05654,0.094833,0.225591,0,0,0,0.786256,0.412681,0.713546,0.688118,0.898795,REAL
0.118238,0.591718,0.046791,0.050357,0.314918,0.620279,0.543112,0,0.734567,0.529711,0.918434,0.839609,0.524114,FAKE
0.039199,0.027509,0.023858,0.163823,0.726745,0,0,0,0.391586,0.17048,0.575068,0.697733,0.421884,FAKE
0.057575,0.034371,0.183337,0.479018,0.196319,0.857009,0,0,0.471628,0.214371,0.156136,0.618034,0.275052,FAKE
0.066971,0.127244,0.264785,0.017468,0.124715,0.762356,0,0,0.328999,0.319012,0.570923,0.611424,0.448667,REAL
0.345239,0.231279,0.258125,0.005944,0.19256,0,0,0,0.178591,0.162132,0.872417,0.814136,0.012854,FAKE
0.293603,0.191472,0.15188,0.057782,0.446019,0.078097,0,0,0.760275,0.420449,0.917327,0.355926,0.331458,REAL
0.080769,0.076401,0.045376,0.012626,0.789612,0,0,0,0.466766,0.371525,0.702006,0.735127,0.652494,FAKE
0.052125,0.249741,0.100734,0.28526,0.345346,0,0,0,0.460289,0.335438,0.434519,0.501005,0.491968,FAKE
0.025673,0.066592,0.194287,0.030111,0.235273,0.207001,0,0,0.240956,0.436303,0.673334,0.737341,0.686343,REAL
0.149284,0.239558,0.266656,0.002671,0.360571,0.769135,0,0,0.497458,0.428253,0.443727,0.71161,0.674789,REAL
0.188305,0.096181,0.226073,0.026831,0.206821,0.882284,0,0,0.453163,0.327798,0.653208,0.643383,0.634896,REAL
0.107462,0.10859,0.563839,0.026658,0.235917,0.138368,0,0,0.416012,0.394002,0.55485,0.607863,0.455389,REAL
0.096992,0.10575,0.085517,0.448088,0.124662,0,0,0,0.481049,0.411576,0.521124,0.586293,0.714916,FAKE
0,0,0,0,0,0,0,0,0.068939,0.145665,0.270129,0.461938,0.000114,FAKE
0.049242,0.048707,0.010719,0.081849,0.127456,0.116314,0,0,0.547015,0.64381,0.530106,0.456622,0.912833,FAKE
0.230843,0.356547,0.133553,0.195452,0.161066,0.347997,0,0,0.274476,0.290832,0.539133,0.596245,0.44691,REAL
